Image,Article,Colour,Size,Pair,Price,Rate List Price,Thumbnail,OCR JSON
"IMG-20251003-WA0003.jpg","Sketch-03","G.Grey","6x9 7x10","24","","","",""
"IMG-20251003-WA0004.jpg","Sketch-07","None","6x9 7x10","24","","","",""
"IMG-20251003-WA0005.jpg","Sketch-07","L.Grey/T.Blue","6x9 7x10","24","","","",""
"IMG-20251003-WA0006.jpg","Sketch 03","White","6*9 7*10","24","","","",""
"IMG-20251003-WA0007.jpg","Wate","Wate","6/9-7/1","24","","","",""
"IMG-20251003-WA0008.jpg","Sketch-09","T-Blue","6x9 7x10","24","","","",""
"IMG-20251003-WA0009.jpg","Sketch-02","None","6x9 7x10","4","","","",""
"IMG-20251003-WA0010.jpg","Sketch-14","Black/Grey","6x9 7x10","24","","","",""
"IMG-20251003-WA0011.jpg","Sketch-02","None","6x9 7x10","2h","","","",""
"IMG-20251003-WA0012.jpg","Sketch-07","T.Blue/White","6x9 7x10","07","","","",""
"IMG-20251003-WA0013.jpg","Sktch","Wt/Tan","6/9-7/10","24","","","",""
"IMG-20251003-WA0014.jpg","Sktch","Wt/Bk","6/9-7/10","24","","","",""
"IMG-20251003-WA0015.jpg","Sketch-02","White","6x9 7x10","24","","","",""
"IMG-20251003-WA0016.jpg","Sketch-14","Ciffox","None","14","","","",""
"IMG-20251003-WA0017.jpg","Sketch-14","L.grey","6x9 7x10","24","","","",""
"IMG-20251003-WA0018.jpg","Sketch-02","Navy","6x9 7x10","24","","","",""
"IMG-20251003-WA0019.jpg","None","D.Gry","6x9 7x10","4","","","",""
"IMG-20251003-WA0020.jpg","Runner-05","Navy","6x9 7x10","24","","","",""
"IMG-20251003-WA0021.jpg","Mukeson 03","D.Gray","6*9 7*10","24","","","",""
"IMG-20251003-WA0022.jpg","Mukeson 01","D.Gray","6*9 7*10","24","","","",""
"IMG-20251003-WA0023.jpg","Pairs","Navy","None","24","","","",""
"IMG-20251003-WA0024.jpg","Stze","Black","6x9 7x10","24","","","",""
"IMG-20251003-WA0025.jpg","abar","None","6x9 7x10","4","","","",""
"IMG-20251003-WA0026.jpg","Mukeson-02","Navy","6x9 7x10","24","","","",""
"IMG-20251003-WA0027.jpg","Runner-04","Black","6x9 7x10","04","","","",""
"IMG-20251003-WA0028.jpg","Mukeson-01","None","6x9 7x10","24","","","",""
"IMG-20251003-WA0029.jpg","Runner-02","Black","6x9 7x10","24","","","",""
"IMG-20251003-WA0030.jpg","None","T.Blue","6x9 7x10","24","","","",""
"IMG-20251003-WA0031.jpg","Runner-02","Mehndi/Black","6x9 7x10","24","","","",""
"IMG-20251003-WA0032.jpg","Mukeson-O1","Navy","None","24","","","",""
